"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: cutoff","Param: parallelism","Param: size"
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"14,282459","2,033110","ms/op",512,16,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,042901","0,003790","ms/op",1024,2,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,520128","0,063886","ms/op",1024,2,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"4,277822","0,477548","ms/op",1024,2,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"43,297122","4,755412","ms/op",1024,2,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,044386","0,005505","ms/op",1024,4,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,337048","0,031816","ms/op",1024,4,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,424474","0,203106","ms/op",1024,4,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"23,945838","2,031685","ms/op",1024,4,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,043313","0,003506","ms/op",1024,8,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,355100","0,043063","ms/op",1024,8,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,131147","0,268742","ms/op",1024,8,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"21,969355","4,954494","ms/op",1024,8,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,044839","0,003514","ms/op",1024,16,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,468381","0,126268","ms/op",1024,16,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,106258","0,380389","ms/op",1024,16,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"15,630813","2,229319","ms/op",1024,16,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,043334","0,003017","ms/op",2048,2,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,503859","0,056302","ms/op",2048,2,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"4,546603","0,560647","ms/op",2048,2,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"48,590131","5,988107","ms/op",2048,2,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,044464","0,004565","ms/op",2048,4,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,341528","0,029737","ms/op",2048,4,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,556436","0,237195","ms/op",2048,4,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"26,421186","2,426458","ms/op",2048,4,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,043886","0,003092","ms/op",2048,8,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,388713","0,058659","ms/op",2048,8,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,138547","0,221070","ms/op",2048,8,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"24,212272","6,223614","ms/op",2048,8,1000000
